iter	Passed	Remaining
371	1961	3311
372	1965	3304
373	1970	3298
374	1974	3291
375	1979	3285
376	1983	3278
377	1988	3272
378	1992	3265
379	1997	3258
380	2001	3251
381	2006	3245
382	2010	3238
383	2014	3231
384	2019	3225
385	2023	3219
386	2028	3212
387	2031	3204
388	2036	3198
389	2040	3191
390	2044	3184
391	2048	3177
392	2053	3171
393	2057	3164
394	2062	3158
395	2067	3152
396	2071	3146
397	2075	3139
398	2080	3134
399	2085	3127
400	2089	3121
401	2093	3114
402	2098	3108
403	2102	3102
404	2107	3095
405	2112	3090
406	2118	3086
407	2122	3080
408	2127	3073
409	2132	3068
410	2136	3061
411	2140	3054
412	2144	3047
413	2148	3041
414	2152	3034
415	2156	3027
416	2160	3021
417	2165	3015
418	2169	3008
